time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],tasmean[unit="F"]
2021-05-20T00:00:00Z,31.9555,-109.0744,69.32208251953125
2021-05-21T00:00:00Z,31.9555,-109.0744,70.02405548095703
2021-05-22T00:00:00Z,31.9555,-109.0744,71.27507019042969
2021-05-23T00:00:00Z,31.9555,-109.0744,70.42906188964844
2021-05-24T00:00:00Z,31.9555,-109.0744,66.80209350585938
2021-05-25T00:00:00Z,31.9555,-109.0744,67.31504821777344
2021-05-26T00:00:00Z,31.9555,-109.0744,72.25604248046875
2021-05-27T00:00:00Z,31.9555,-109.0744,75.87405395507812
2021-05-28T00:00:00Z,31.9555,-109.0744,78.277099609375
2021-05-29T00:00:00Z,31.9555,-109.0744,78.85310363769531
2021-05-30T00:00:00Z,31.9555,-109.0744,81.68637084960938
2021-05-31T00:00:00Z,31.9555,-109.0744,73.92881774902344
2021-06-01T00:00:00Z,31.9555,-109.0744,78.518798828125
2021-06-02T00:00:00Z,31.9555,-109.0744,82.18185424804688
2021-06-03T00:00:00Z,31.9555,-109.0744,82.42487335205078
2021-06-04T00:00:00Z,31.9555,-109.0744,82.88388061523438
2021-06-05T00:00:00Z,31.9555,-109.0744,83.09986877441406
2021-06-06T00:00:00Z,31.9555,-109.0744,84.01789093017578
2021-06-07T00:00:00Z,31.9555,-109.0744,83.31586456298828
2021-06-08T00:00:00Z,31.9555,-109.0744,84.20685577392578
2021-06-09T00:00:00Z,31.9555,-109.0744,82.85685729980469
2021-06-10T00:00:00Z,31.9555,-109.0744,80.84986877441406
2021-06-11T00:00:00Z,31.9555,-109.0744,78.80685424804688
2021-06-12T00:00:00Z,31.9555,-109.0744,78.94187927246094
2021-06-13T00:00:00Z,31.9555,-109.0744,78.03286743164062
2021-06-14T00:00:00Z,31.9555,-109.0744,78.80685424804688
2021-06-15T00:00:00Z,31.9555,-109.0744,79.58084106445312
2021-06-16T00:00:00Z,31.9555,-109.0744,81.38990783691406
2021-06-17T00:00:00Z,31.9555,-109.0744,82.640869140625
2021-06-18T00:00:00Z,31.9555,-109.0744,83.9278564453125
2021-06-19T00:00:00Z,31.9555,-109.0744,85.20584106445312
2021-06-20T00:00:00Z,31.9555,-109.0744,82.55989074707031
2021-06-21T00:00:00Z,31.9555,-109.0744,80.33692169189453
2021-06-22T00:00:00Z,31.9555,-109.0744,78.05088806152344
2021-06-23T00:00:00Z,31.9555,-109.0744,79.04086303710938
2021-06-24T00:00:00Z,31.9555,-109.0744,78.34784698486328
2021-06-25T00:00:00Z,31.9555,-109.0744,76.56586456298828
2021-06-26T00:00:00Z,31.9555,-109.0744,76.40386962890625
2021-06-27T00:00:00Z,31.9555,-109.0744,75.72882080078125
2021-06-28T00:00:00Z,31.9555,-109.0744,81.23686218261719
2021-06-29T00:00:00Z,31.9555,-109.0744,81.203857421875
2021-06-30T00:00:00Z,31.9555,-109.0744,84.642578125
2021-07-01T00:00:00Z,31.9555,-109.0744,84.50765991210938
2021-07-02T00:00:00Z,31.9555,-109.0744,82.22162628173828
2021-07-03T00:00:00Z,31.9555,-109.0744,83.50862121582031
2021-07-04T00:00:00Z,31.9555,-109.0744,84.29167175292969
2021-07-05T00:00:00Z,31.9555,-109.0744,84.95761108398438
2021-07-06T00:00:00Z,31.9555,-109.0744,86.05563354492188
2021-07-07T00:00:00Z,31.9555,-109.0744,84.73260498046875
2021-07-08T00:00:00Z,31.9555,-109.0744,81.37562561035156
2021-07-09T00:00:00Z,31.9555,-109.0744,83.42759704589844
2021-07-10T00:00:00Z,31.9555,-109.0744,85.29065704345703
2021-07-11T00:00:00Z,31.9555,-109.0744,85.91160583496094
2021-07-12T00:00:00Z,31.9555,-109.0744,84.53463745117188
2021-07-13T00:00:00Z,31.9555,-109.0744,83.76065063476562
2021-07-14T00:00:00Z,31.9555,-109.0744,83.24763488769531
2021-07-15T00:00:00Z,31.9555,-109.0744,81.51058959960938
2021-07-16T00:00:00Z,31.9555,-109.0744,80.01667022705078
2021-07-17T00:00:00Z,31.9555,-109.0744,78.27961730957031
2021-07-18T00:00:00Z,31.9555,-109.0744,78.81059265136719
2021-07-19T00:00:00Z,31.9555,-109.0744,74.99465942382812
2021-07-20T00:00:00Z,31.9555,-109.0744,77.50563049316406
2021-07-21T00:00:00Z,31.9555,-109.0744,76.8126220703125
2021-07-22T00:00:00Z,31.9555,-109.0744,77.90164184570312
2021-07-23T00:00:00Z,31.9555,-109.0744,78.05462646484375
2021-07-24T00:00:00Z,31.9555,-109.0744,80.13362121582031
2021-07-25T00:00:00Z,31.9555,-109.0744,79.02664184570312
2021-07-26T00:00:00Z,31.9555,-109.0744,76.3896484375
2021-07-27T00:00:00Z,31.9555,-109.0744,76.27264404296875
2021-07-28T00:00:00Z,31.9555,-109.0744,77.61363220214844
2021-07-29T00:00:00Z,31.9555,-109.0744,78.31571197509766
2021-07-30T00:00:00Z,31.9555,-109.0744,77.51387023925781
2021-07-31T00:00:00Z,31.9555,-109.0744,73.29995727539062
2021-08-01T00:00:00Z,31.9555,-109.0744,77.718994140625
2021-08-02T00:00:00Z,31.9555,-109.0744,78.00694274902344
2021-08-03T00:00:00Z,31.9555,-109.0744,74.55998229980469
2021-08-04T00:00:00Z,31.9555,-109.0744,77.35001373291016
2021-08-05T00:00:00Z,31.9555,-109.0744,79.9420166015625
2021-08-06T00:00:00Z,31.9555,-109.0744,80.7879638671875
2021-08-07T00:00:00Z,31.9555,-109.0744,83.15496826171875
2021-08-08T00:00:00Z,31.9555,-109.0744,82.51600646972656
2021-08-09T00:00:00Z,31.9555,-109.0744,81.11200714111328
2021-08-10T00:00:00Z,31.9555,-109.0744,79.82495880126953
