time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],tasmax[unit="F"]
2021-05-20T00:00:00Z,31.9555,-109.0744,85.64326477050781
2021-05-21T00:00:00Z,31.9555,-109.0744,86.95728302001953
2021-05-22T00:00:00Z,31.9555,-109.0744,88.5412368774414
2021-05-23T00:00:00Z,31.9555,-109.0744,85.98521423339844
2021-05-24T00:00:00Z,31.9555,-109.0744,84.14923095703125
2021-05-25T00:00:00Z,31.9555,-109.0744,85.78723907470703
2021-05-26T00:00:00Z,31.9555,-109.0744,90.95323181152344
2021-05-27T00:00:00Z,31.9555,-109.0744,94.87721252441406
2021-05-28T00:00:00Z,31.9555,-109.0744,96.83926391601562
2021-05-29T00:00:00Z,31.9555,-109.0744,98.15322875976562
2021-05-30T00:00:00Z,31.9555,-109.0744,100.62146759033203
2021-05-31T00:00:00Z,31.9555,-109.0744,93.4024658203125
2021-06-01T00:00:00Z,31.9555,-109.0744,98.1004409790039
2021-06-02T00:00:00Z,31.9555,-109.0744,100.85443878173828
2021-06-03T00:00:00Z,31.9555,-109.0744,100.89047241210938
2021-06-04T00:00:00Z,31.9555,-109.0744,101.80848693847656
2021-06-05T00:00:00Z,31.9555,-109.0744,101.61045837402344
2021-06-06T00:00:00Z,31.9555,-109.0744,101.68253326416016
2021-06-07T00:00:00Z,31.9555,-109.0744,101.30443572998047
2021-06-08T00:00:00Z,31.9555,-109.0744,101.80848693847656
2021-06-09T00:00:00Z,31.9555,-109.0744,100.90848541259766
2021-06-10T00:00:00Z,31.9555,-109.0744,97.25443267822266
2021-06-11T00:00:00Z,31.9555,-109.0744,95.16653442382812
2021-06-12T00:00:00Z,31.9555,-109.0744,93.78044891357422
2021-06-13T00:00:00Z,31.9555,-109.0744,92.700439453125
2021-06-14T00:00:00Z,31.9555,-109.0744,94.78844451904297
2021-06-15T00:00:00Z,31.9555,-109.0744,97.63247680664062
2021-06-16T00:00:00Z,31.9555,-109.0744,99.75651550292969
2021-06-17T00:00:00Z,31.9555,-109.0744,100.8184585571289
2021-06-18T00:00:00Z,31.9555,-109.0744,102.31248474121094
2021-06-19T00:00:00Z,31.9555,-109.0744,103.44644165039062
2021-06-20T00:00:00Z,31.9555,-109.0744,97.12847900390625
2021-06-21T00:00:00Z,31.9555,-109.0744,96.6425552368164
2021-06-22T00:00:00Z,31.9555,-109.0744,94.53646850585938
2021-06-23T00:00:00Z,31.9555,-109.0744,96.66046142578125
2021-06-24T00:00:00Z,31.9555,-109.0744,94.53646850585938
2021-06-25T00:00:00Z,31.9555,-109.0744,92.0164794921875
2021-06-26T00:00:00Z,31.9555,-109.0744,91.45848846435547
2021-06-27T00:00:00Z,31.9555,-109.0744,92.68247985839844
2021-06-28T00:00:00Z,31.9555,-109.0744,97.81248474121094
2021-06-29T00:00:00Z,31.9555,-109.0744,93.01986694335938
2021-06-30T00:00:00Z,31.9555,-109.0744,101.83837127685547
2021-07-01T00:00:00Z,31.9555,-109.0744,101.46038818359375
2021-07-02T00:00:00Z,31.9555,-109.0744,97.9683837890625
2021-07-03T00:00:00Z,31.9555,-109.0744,101.53240203857422
2021-07-04T00:00:00Z,31.9555,-109.0744,101.56848907470703
2021-07-05T00:00:00Z,31.9555,-109.0744,101.83837127685547
2021-07-06T00:00:00Z,31.9555,-109.0744,103.15238952636719
2021-07-07T00:00:00Z,31.9555,-109.0744,100.83037567138672
2021-07-08T00:00:00Z,31.9555,-109.0744,97.66241455078125
2021-07-09T00:00:00Z,31.9555,-109.0744,99.62440490722656
2021-07-10T00:00:00Z,31.9555,-109.0744,101.49647521972656
2021-07-11T00:00:00Z,31.9555,-109.0744,101.5864028930664
2021-07-12T00:00:00Z,31.9555,-109.0744,99.62440490722656
2021-07-13T00:00:00Z,31.9555,-109.0744,99.01246643066406
2021-07-14T00:00:00Z,31.9555,-109.0744,97.66241455078125
2021-07-15T00:00:00Z,31.9555,-109.0744,96.36640930175781
2021-07-16T00:00:00Z,31.9555,-109.0744,95.19642639160156
2021-07-17T00:00:00Z,31.9555,-109.0744,93.39642333984375
2021-07-18T00:00:00Z,31.9555,-109.0744,91.05638885498047
2021-07-19T00:00:00Z,31.9555,-109.0744,87.33038330078125
2021-07-20T00:00:00Z,31.9555,-109.0744,90.87637329101562
2021-07-21T00:00:00Z,31.9555,-109.0744,90.15638732910156
2021-07-22T00:00:00Z,31.9555,-109.0744,92.98240661621094
2021-07-23T00:00:00Z,31.9555,-109.0744,94.17041015625
2021-07-24T00:00:00Z,31.9555,-109.0744,96.56438446044922
2021-07-25T00:00:00Z,31.9555,-109.0744,92.20841979980469
2021-07-26T00:00:00Z,31.9555,-109.0744,89.86837768554688
2021-07-27T00:00:00Z,31.9555,-109.0744,89.81438446044922
2021-07-28T00:00:00Z,31.9555,-109.0744,91.11038208007812
2021-07-29T00:00:00Z,31.9555,-109.0744,92.78448486328125
2021-07-30T00:00:00Z,31.9555,-109.0744,92.60397338867188
2021-07-31T00:00:00Z,31.9555,-109.0744,86.48591613769531
2021-08-01T00:00:00Z,31.9555,-109.0744,90.46395111083984
2021-08-02T00:00:00Z,31.9555,-109.0744,89.14993286132812
2021-08-03T00:00:00Z,31.9555,-109.0744,83.51593017578125
2021-08-04T00:00:00Z,31.9555,-109.0744,89.96000671386719
2021-08-05T00:00:00Z,31.9555,-109.0744,91.95797729492188
2021-08-06T00:00:00Z,31.9555,-109.0744,92.80392456054688
2021-08-07T00:00:00Z,31.9555,-109.0744,94.49593353271484
2021-08-08T00:00:00Z,31.9555,-109.0744,93.7039794921875
2021-08-09T00:00:00Z,31.9555,-109.0744,92.82194519042969
2021-08-10T00:00:00Z,31.9555,-109.0744,90.87791442871094
2021-08-11T00:00:00Z,31.9555,-109.0744,92.24593353271484
2021-08-12T00:00:00Z,31.9555,-109.0744,89.13202667236328
2021-08-13T00:00:00Z,31.9555,-109.0744,91.63399505615234
2021-08-14T00:00:00Z,31.9555,-109.0744,89.14993286132812
2021-08-15T00:00:00Z,31.9555,-109.0744,84.19998931884766
2021-08-16T00:00:00Z,31.9555,-109.0744,88.35798645019531
2021-08-17T00:00:00Z,31.9555,-109.0744,92.92994689941406
2021-08-18T00:00:00Z,31.9555,-109.0744,93.07391357421875
2021-08-19T00:00:00Z,31.9555,-109.0744,92.55201721191406
2021-08-20T00:00:00Z,31.9555,-109.0744,91.16592407226562
2021-08-21T00:00:00Z,31.9555,-109.0744,91.18394470214844
2021-08-22T00:00:00Z,31.9555,-109.0744,93.50595092773438
2021-08-23T00:00:00Z,31.9555,-109.0744,88.59193420410156
2021-08-24T00:00:00Z,31.9555,-109.0744,88.87994384765625
2021-08-25T00:00:00Z,31.9555,-109.0744,89.97792053222656
2021-08-26T00:00:00Z,31.9555,-109.0744,92.98394012451172
2021-08-27T00:00:00Z,31.9555,-109.0744,95.62994384765625
2021-08-28T00:00:00Z,31.9555,-109.0744,92.60595703125
2021-08-29T00:00:00Z,31.9555,-109.0744,89.29391479492188
2021-08-30T00:00:00Z,31.9555,-109.0744,90.32865905761719
