time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],tasmin[unit="F"]
2021-05-20T00:00:00Z,31.9555,-109.0744,53.00090789794922
2021-05-21T00:00:00Z,31.9555,-109.0744,53.09088134765625
2021-05-22T00:00:00Z,31.9555,-109.0744,54.00890350341797
2021-05-23T00:00:00Z,31.9555,-109.0744,54.872920989990234
2021-05-24T00:00:00Z,31.9555,-109.0744,49.4549560546875
2021-05-25T00:00:00Z,31.9555,-109.0744,48.84291076660156
2021-05-26T00:00:00Z,31.9555,-109.0744,53.55889892578125
2021-05-27T00:00:00Z,31.9555,-109.0744,56.87089538574219
2021-05-28T00:00:00Z,31.9555,-109.0744,59.714927673339844
2021-05-29T00:00:00Z,31.9555,-109.0744,59.55298614501953
2021-05-30T00:00:00Z,31.9555,-109.0744,62.75132751464844
2021-05-31T00:00:00Z,31.9555,-109.0744,54.455223083496094
2021-06-01T00:00:00Z,31.9555,-109.0744,58.93720245361328
2021-06-02T00:00:00Z,31.9555,-109.0744,63.50921630859375
2021-06-03T00:00:00Z,31.9555,-109.0744,63.95922088623047
2021-06-04T00:00:00Z,31.9555,-109.0744,63.95927429199219
2021-06-05T00:00:00Z,31.9555,-109.0744,64.5892333984375
2021-06-06T00:00:00Z,31.9555,-109.0744,66.3532485961914
2021-06-07T00:00:00Z,31.9555,-109.0744,65.32723999023438
2021-06-08T00:00:00Z,31.9555,-109.0744,66.605224609375
2021-06-09T00:00:00Z,31.9555,-109.0744,64.80522155761719
2021-06-10T00:00:00Z,31.9555,-109.0744,64.4453125
2021-06-11T00:00:00Z,31.9555,-109.0744,62.447227478027344
2021-06-12T00:00:00Z,31.9555,-109.0744,64.1032485961914
2021-06-13T00:00:00Z,31.9555,-109.0744,63.36524200439453
2021-06-14T00:00:00Z,31.9555,-109.0744,62.82521057128906
2021-06-15T00:00:00Z,31.9555,-109.0744,61.529205322265625
2021-06-16T00:00:00Z,31.9555,-109.0744,63.023292541503906
2021-06-17T00:00:00Z,31.9555,-109.0744,64.46321105957031
2021-06-18T00:00:00Z,31.9555,-109.0744,65.54322814941406
2021-06-19T00:00:00Z,31.9555,-109.0744,66.96524047851562
2021-06-20T00:00:00Z,31.9555,-109.0744,67.99125671386719
2021-06-21T00:00:00Z,31.9555,-109.0744,64.03123474121094
2021-06-22T00:00:00Z,31.9555,-109.0744,61.565242767333984
2021-06-23T00:00:00Z,31.9555,-109.0744,61.42121124267578
2021-06-24T00:00:00Z,31.9555,-109.0744,62.159217834472656
2021-06-25T00:00:00Z,31.9555,-109.0744,61.11524200439453
2021-06-26T00:00:00Z,31.9555,-109.0744,61.34925079345703
2021-06-27T00:00:00Z,31.9555,-109.0744,58.77520751953125
2021-06-28T00:00:00Z,31.9555,-109.0744,64.66123962402344
2021-06-29T00:00:00Z,31.9555,-109.0744,69.38789367675781
2021-06-30T00:00:00Z,31.9555,-109.0744,67.44682312011719
2021-07-01T00:00:00Z,31.9555,-109.0744,67.554931640625
2021-07-02T00:00:00Z,31.9555,-109.0744,66.47486877441406
2021-07-03T00:00:00Z,31.9555,-109.0744,65.48483276367188
2021-07-04T00:00:00Z,31.9555,-109.0744,67.01484680175781
2021-07-05T00:00:00Z,31.9555,-109.0744,68.07684326171875
2021-07-06T00:00:00Z,31.9555,-109.0744,68.95893096923828
2021-07-07T00:00:00Z,31.9555,-109.0744,68.63483428955078
2021-07-08T00:00:00Z,31.9555,-109.0744,65.08883666992188
2021-07-09T00:00:00Z,31.9555,-109.0744,67.2308349609375
2021-07-10T00:00:00Z,31.9555,-109.0744,69.0848388671875
2021-07-11T00:00:00Z,31.9555,-109.0744,70.23686218261719
2021-07-12T00:00:00Z,31.9555,-109.0744,69.44485473632812
2021-07-13T00:00:00Z,31.9555,-109.0744,68.50881958007812
2021-07-14T00:00:00Z,31.9555,-109.0744,68.8328628540039
2021-07-15T00:00:00Z,31.9555,-109.0744,66.65482330322266
2021-07-16T00:00:00Z,31.9555,-109.0744,64.83686065673828
2021-07-17T00:00:00Z,31.9555,-109.0744,63.162818908691406
2021-07-18T00:00:00Z,31.9555,-109.0744,66.56484985351562
2021-07-19T00:00:00Z,31.9555,-109.0744,62.658931732177734
2021-07-20T00:00:00Z,31.9555,-109.0744,64.13483428955078
2021-07-21T00:00:00Z,31.9555,-109.0744,63.468841552734375
2021-07-22T00:00:00Z,31.9555,-109.0744,62.82086944580078
2021-07-23T00:00:00Z,31.9555,-109.0744,61.93883514404297
2021-07-24T00:00:00Z,31.9555,-109.0744,63.702850341796875
2021-07-25T00:00:00Z,31.9555,-109.0744,65.84485626220703
2021-07-26T00:00:00Z,31.9555,-109.0744,62.910850524902344
2021-07-27T00:00:00Z,31.9555,-109.0744,62.7308349609375
2021-07-28T00:00:00Z,31.9555,-109.0744,64.11686706542969
2021-07-29T00:00:00Z,31.9555,-109.0744,63.84693908691406
2021-07-30T00:00:00Z,31.9555,-109.0744,62.423824310302734
2021-07-31T00:00:00Z,31.9555,-109.0744,60.11400604248047
2021-08-01T00:00:00Z,31.9555,-109.0744,64.97402954101562
2021-08-02T00:00:00Z,31.9555,-109.0744,66.86399841308594
2021-08-03T00:00:00Z,31.9555,-109.0744,65.60409545898438
2021-08-04T00:00:00Z,31.9555,-109.0744,64.74002075195312
2021-08-05T00:00:00Z,31.9555,-109.0744,67.92605590820312
2021-08-06T00:00:00Z,31.9555,-109.0744,68.77200317382812
2021-08-07T00:00:00Z,31.9555,-109.0744,71.81400299072266
2021-08-08T00:00:00Z,31.9555,-109.0744,71.32801818847656
2021-08-09T00:00:00Z,31.9555,-109.0744,69.40200805664062
2021-08-10T00:00:00Z,31.9555,-109.0744,68.77200317382812
2021-08-11T00:00:00Z,31.9555,-109.0744,66.9539794921875
2021-08-12T00:00:00Z,31.9555,-109.0744,67.92599487304688
2021-08-13T00:00:00Z,31.9555,-109.0744,66.7740249633789
2021-08-14T00:00:00Z,31.9555,-109.0744,66.61203002929688
2021-08-15T00:00:00Z,31.9555,-109.0744,66.48602294921875
2021-08-16T00:00:00Z,31.9555,-109.0744,64.7760009765625
2021-08-17T00:00:00Z,31.9555,-109.0744,67.44001770019531
2021-08-18T00:00:00Z,31.9555,-109.0744,69.49209594726562
2021-08-19T00:00:00Z,31.9555,-109.0744,69.49198913574219
2021-08-20T00:00:00Z,31.9555,-109.0744,68.59198760986328
2021-08-21T00:00:00Z,31.9555,-109.0744,70.59001159667969
2021-08-22T00:00:00Z,31.9555,-109.0744,68.75398254394531
2021-08-23T00:00:00Z,31.9555,-109.0744,68.48399353027344
2021-08-24T00:00:00Z,31.9555,-109.0744,64.61405944824219
2021-08-25T00:00:00Z,31.9555,-109.0744,65.31602478027344
2021-08-26T00:00:00Z,31.9555,-109.0744,65.67599487304688
2021-08-27T00:00:00Z,31.9555,-109.0744,68.34007263183594
2021-08-28T00:00:00Z,31.9555,-109.0744,67.79998779296875
2021-08-29T00:00:00Z,31.9555,-109.0744,63.875999450683594
2021-08-30T00:00:00Z,31.9555,-109.0744,61.71031951904297
2021-08-31T00:00:00Z,31.9555,-109.0744,61.96305847167969
2021-09-01T00:00:00Z,31.9555,-109.0744,62.77302551269531
2021-09-02T00:00:00Z,31.9555,-109.0744,63.31305694580078
2021-09-03T00:00:00Z,31.9555,-109.0744,57.841041564941406
2021-09-04T00:00:00Z,31.9555,-109.0744,59.10111999511719
2021-09-05T00:00:00Z,31.9555,-109.0744,61.24306869506836
2021-09-06T00:00:00Z,31.9555,-109.0744,62.395042419433594
2021-09-07T00:00:00Z,31.9555,-109.0744,62.70111846923828
2021-09-08T00:00:00Z,31.9555,-109.0744,63.403038024902344
2021-09-09T00:00:00Z,31.9555,-109.0744,62.32302474975586
2021-09-10T00:00:00Z,31.9555,-109.0744,62.43107604980469
2021-09-11T00:00:00Z,31.9555,-109.0744,61.513057708740234
2021-09-12T00:00:00Z,31.9555,-109.0744,59.04706573486328
2021-09-13T00:00:00Z,31.9555,-109.0744,58.795040130615234
2021-09-14T00:00:00Z,31.9555,-109.0744,55.95106506347656
2021-09-15T00:00:00Z,31.9555,-109.0744,58.219024658203125
2021-09-16T00:00:00Z,31.9555,-109.0744,58.65106201171875
2021-09-17T00:00:00Z,31.9555,-109.0744,56.95906066894531
2021-09-18T00:00:00Z,31.9555,-109.0744,57.49903869628906
2021-09-19T00:00:00Z,31.9555,-109.0744,57.51705551147461
2021-09-20T00:00:00Z,31.9555,-109.0744,59.47904968261719
2021-09-21T00:00:00Z,31.9555,-109.0744,54.85303497314453
2021-09-22T00:00:00Z,31.9555,-109.0744,55.84307098388672
2021-09-23T00:00:00Z,31.9555,-109.0744,57.481075286865234
2021-09-24T00:00:00Z,31.9555,-109.0744,59.911033630371094
2021-09-25T00:00:00Z,31.9555,-109.0744,58.88507080078125
2021-09-26T00:00:00Z,31.9555,-109.0744,58.11103057861328
2021-09-27T00:00:00Z,31.9555,-109.0744,59.569026947021484
2021-09-28T00:00:00Z,31.9555,-109.0744,59.67707824707031
2021-09-29T00:00:00Z,31.9555,-109.0744,60.015289306640625
