"cast_date","cast_month","cast_year","moon","currency","model","data_set","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id","cast_group","confidence_level"
"2021-02-26",4,2019,517,"abundance","NaiveArima","controls","BA",0,-1.52451127867507,1.52451127867507,217,516,1574,64,0.95
"2021-02-26",5,2019,518,"abundance","NaiveArima","controls","BA",0,-2.15598452629303,2.15598452629303,217,516,1574,64,0.95
"2021-02-26",6,2019,519,"abundance","NaiveArima","controls","BA",0,-2.64053099137701,2.64053099137701,217,516,1574,64,0.95
"2021-02-26",7,2019,520,"abundance","NaiveArima","controls","BA",0,-3.04902255735013,3.04902255735013,217,516,1574,64,0.95
"2021-02-26",7,2019,521,"abundance","NaiveArima","controls","BA",0,-3.40891085158258,3.40891085158258,217,516,1574,64,0.95
"2021-02-26",8,2019,522,"abundance","NaiveArima","controls","BA",0,-3.73427473987184,3.73427473987184,217,516,1574,64,0.95
"2021-02-26",9,2019,523,"abundance","NaiveArima","controls","BA",0,-4.03347771428731,4.03347771428731,217,516,1574,64,0.95
"2021-02-26",10,2019,524,"abundance","NaiveArima","controls","BA",0,-4.31196905258606,4.31196905258606,217,516,1574,64,0.95
"2021-02-26",11,2019,525,"abundance","NaiveArima","controls","BA",0,-4.5735338360252,4.5735338360252,217,516,1574,64,0.95
"2021-02-26",12,2019,526,"abundance","NaiveArima","controls","BA",0,-4.82092795922889,4.82092795922889,217,516,1574,64,0.95
"2021-02-26",1,2020,527,"abundance","NaiveArima","controls","BA",0,-5.05623190003014,5.05623190003014,217,516,1574,64,0.95
"2021-02-26",2,2020,528,"abundance","NaiveArima","controls","BA",0,-5.28106198275402,5.28106198275402,217,516,1574,64,0.95
"2021-02-26",4,2019,517,"abundance","NaiveArima","controls","DM",14,5.73827100902156,22.2617289909784,217,516,1574,64,0.95
"2021-02-26",5,2019,518,"abundance","NaiveArima","controls","DM",14,2.31615081230731,25.6838491876927,217,516,1574,64,0.95
"2021-02-26",6,2019,519,"abundance","NaiveArima","controls","DM",14,-0.309734370739406,28.3097343707394,217,516,1574,64,0.95
"2021-02-26",7,2019,520,"abundance","NaiveArima","controls","DM",14,-2.52345798195687,30.5234579819569,217,516,1574,64,0.95
"2021-02-26",7,2019,521,"abundance","NaiveArima","controls","DM",14,-4.47378763550853,32.4737876355085,217,516,1574,64,0.95
"2021-02-26",8,2019,522,"abundance","NaiveArima","controls","DM",14,-6.2370204210561,34.2370204210561,217,516,1574,64,0.95
"2021-02-26",9,2019,523,"abundance","NaiveArima","controls","DM",14,-7.85848030954154,35.8584803095415,217,516,1574,64,0.95
"2021-02-26",10,2019,524,"abundance","NaiveArima","controls","DM",14,-9.36769837538538,37.3676983753854,217,516,1574,64,0.95
"2021-02-26",11,2019,525,"abundance","NaiveArima","controls","DM",14,-10.7851869729353,38.7851869729353,217,516,1574,64,0.95
"2021-02-26",12,2019,526,"abundance","NaiveArima","controls","DM",14,-12.1258810225366,40.1258810225366,217,516,1574,64,0.95
"2021-02-26",1,2020,527,"abundance","NaiveArima","controls","DM",14,-13.401055182677,41.401055182677,217,516,1574,64,0.95
"2021-02-26",2,2020,528,"abundance","NaiveArima","controls","DM",14,-14.6194687414788,42.6194687414788,217,516,1574,64,0.95
"2021-02-26",4,2019,517,"abundance","NaiveArima","controls","DO",0,-4.23723203056738,4.23723203056738,217,516,1574,64,0.95
"2021-02-26",5,2019,518,"abundance","NaiveArima","controls","DO",0,-5.99235100455007,5.99235100455007,217,516,1574,64,0.95
"2021-02-26",6,2019,519,"abundance","NaiveArima","controls","DO",0,-7.33910116040094,7.33910116040094,217,516,1574,64,0.95
"2021-02-26",7,2019,520,"abundance","NaiveArima","controls","DO",0,-8.47446406113475,8.47446406113475,217,516,1574,64,0.95
"2021-02-26",7,2019,521,"abundance","NaiveArima","controls","DO",0,-9.47473885678812,9.47473885678812,217,516,1574,64,0.95
"2021-02-26",8,2019,522,"abundance","NaiveArima","controls","DO",0,-10.3790563966671,10.3790563966671,217,516,1574,64,0.95
"2021-02-26",9,2019,523,"abundance","NaiveArima","controls","DO",0,-11.2106622001585,11.2106622001585,217,516,1574,64,0.95
"2021-02-26",10,2019,524,"abundance","NaiveArima","controls","DO",0,-11.9847020091001,11.9847020091001,217,516,1574,64,0.95
"2021-02-26",11,2019,525,"abundance","NaiveArima","controls","DO",0,-12.7116960917021,12.7116960917021,217,516,1574,64,0.95
"2021-02-26",12,2019,526,"abundance","NaiveArima","controls","DO",0,-13.3993041912131,13.3993041912131,217,516,1574,64,0.95
"2021-02-26",1,2020,527,"abundance","NaiveArima","controls","DO",0,-14.0533087950677,14.0533087950677,217,516,1574,64,0.95
"2021-02-26",2,2020,528,"abundance","NaiveArima","controls","DO",0,-14.6782023208019,14.6782023208019,217,516,1574,64,0.95
"2021-02-26",4,2019,517,"abundance","NaiveArima","controls","DS",0,-0.780392058042869,0.780392058042869,217,516,1574,64,0.95
"2021-02-26",5,2019,518,"abundance","NaiveArima","controls","DS",0,-1.10364103245248,1.10364103245248,217,516,1574,64,0.95
"2021-02-26",6,2019,519,"abundance","NaiveArima","controls","DS",0,-1.35167869435349,1.35167869435349,217,516,1574,64,0.95
"2021-02-26",7,2019,520,"abundance","NaiveArima","controls","DS",0,-1.56078411608574,1.56078411608574,217,516,1574,64,0.95
"2021-02-26",7,2019,521,"abundance","NaiveArima","controls","DS",0,-1.74500969088482,1.74500969088482,217,516,1574,64,0.95
"2021-02-26",8,2019,522,"abundance","NaiveArima","controls","DS",0,-1.91156234152546,1.91156234152546,217,516,1574,64,0.95
"2021-02-26",9,2019,523,"abundance","NaiveArima","controls","DS",0,-2.06472331071132,2.06472331071132,217,516,1574,64,0.95
"2021-02-26",10,2019,524,"abundance","NaiveArima","controls","DS",0,-2.20728206490496,2.20728206490496,217,516,1574,64,0.95
"2021-02-26",11,2019,525,"abundance","NaiveArima","controls","DS",0,-2.34117617412861,2.34117617412861,217,516,1574,64,0.95
"2021-02-26",12,2019,526,"abundance","NaiveArima","controls","DS",0,-2.46781637132179,2.46781637132179,217,516,1574,64,0.95
"2021-02-26",1,2020,527,"abundance","NaiveArima","controls","DS",0,-2.58826764590145,2.58826764590145,217,516,1574,64,0.95
"2021-02-26",2,2020,528,"abundance","NaiveArima","controls","DS",0,-2.70335738870698,2.70335738870698,217,516,1574,64,0.95
"2021-02-26",4,2019,517,"abundance","NaiveArima","controls","NA",0,-0.822605457107264,0.822605457107264,217,516,1574,64,0.95
"2021-02-26",5,2019,518,"abundance","NaiveArima","controls","NA",0,-1.16333979392321,1.16333979392321,217,516,1574,64,0.95
"2021-02-26",6,2019,519,"abundance","NaiveArima","controls","NA",0,-1.4247944462932,1.4247944462932,217,516,1574,64,0.95
"2021-02-26",7,2019,520,"abundance","NaiveArima","controls","NA",0,-1.64521091421453,1.64521091421453,217,516,1574,64,0.95
"2021-02-26",7,2019,521,"abundance","NaiveArima","controls","NA",0,-1.83940172075413,1.83940172075413,217,516,1574,64,0.95
