"cast_date","cast_month","cast_year","moon","currency","model","data_set","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id","cast_group","confidence_level"
"2021-02-26",7,2019,520,"abundance","AutoArima","all","BA",7.30736105551189e-07,-5.75078811812864,5.75078957960085,217,519,1593,67,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","all","BA",5.33315870072004e-07,-7.30868707067714,7.30868813730888,217,519,1593,67,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","all","BA",-7.12786512102668e-08,-8.30353340359353,8.30353326103623,217,519,1593,67,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","all","BA",-1.04069523812413e-06,-8.87618719131362,8.87618510992314,217,519,1593,67,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","all","BA",-2.01011182503799e-06,-9.41407102196822,9.41406700174457,217,519,1593,67,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","all","BA",-2.97952841195185e-06,-9.92284078630325,9.92283482724643,217,519,1593,67,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","all","BA",-3.94894499886576e-06,-10.406767370832,10.406759472942,217,519,1593,67,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","all","BA",-4.91836158577962e-06,-10.8691695458153,10.8691597090921,217,519,1593,67,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","all","BA",-5.88777817269349e-06,-11.3126870234885,11.3126752479321,217,519,1593,67,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","all","BA",-6.85719475960735e-06,-11.7394603903803,11.7394466759907,217,519,1593,67,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","all","BA",-7.82661134652121e-06,-12.1512540193846,12.1512383661619,217,519,1593,67,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","all","BA",-8.79602793343507e-06,-12.5495426047776,12.5495250127218,217,519,1593,67,0.95
"2021-02-26",7,2019,520,"abundance","AutoArima","all","DM",19.8634533492148,4.46111381440664,35.2657928840229,217,519,1593,67,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","all","DM",20.4258556129134,0.283032470842052,40.5686787549847,217,519,1593,67,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","all","DM",20.3691714141637,-3.58528442740462,44.3236272557319,217,519,1593,67,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","all","DM",20.0449924301344,-6.51434460837095,46.6043294686398,217,519,1593,67,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","all","DM",20.1009626349483,-9.2325481808101,49.4344734507067,217,519,1593,67,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","all","DM",20.1245623298815,-11.6677724035232,51.9168970632862,217,519,1593,67,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","all","DM",20.1503724797706,-13.9800636253685,54.2808085849097,217,519,1593,67,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","all","DM",20.1295160390148,-16.1319834640682,56.3910155420977,217,519,1593,67,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","all","DM",20.1315527213354,-18.1661522477172,58.429257690388,217,519,1593,67,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","all","DM",20.1299271756331,-20.0921178150936,60.3519721663598,217,519,1593,67,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","all","DM",20.1330785926221,-21.9325651093713,62.1987222946155,217,519,1593,67,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","all","DM",20.1317423167765,-23.6955335093063,63.9590181428593,217,519,1593,67,0.95
"2021-02-26",7,2019,520,"abundance","AutoArima","all","DO",5.90910549199993,-4.05221964020321,15.8704306242031,217,519,1593,67,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","all","DO",6.69805107743034,-6.49129394240751,19.8873960972682,217,519,1593,67,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","all","DO",7.38271874498655,-7.79095173500127,22.5563892249744,217,519,1593,67,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","all","DO",7.97689130093173,-8.53453191927679,24.4883145211403,217,519,1593,67,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","all","DO",8.4925298259676,-8.95881851962729,25.9438781715625,217,519,1593,67,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","all","DO",8.94001445958252,-9.18706691132585,27.0670958304909,217,519,1593,67,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","all","DO",9.32835335902287,-9.29145558490758,27.9481623029533,217,519,1593,67,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","all","DO",9.66536403936798,-9.31708768958284,28.6478157683188,217,519,1593,67,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","all","DO",9.95783074520236,-9.29322616190458,29.2088876523093,217,519,1593,67,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","all","DO",10.2116410218797,-9.23925989630673,29.6625419400662,217,519,1593,67,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","all","DO",10.4319042356471,-9.16815856483628,30.0319670361305,217,519,1593,67,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","all","DO",10.6230544285166,-9.08860038955351,30.3347092465867,217,519,1593,67,0.95
"2021-02-26",7,2019,520,"abundance","AutoArima","all","DS",0.14819076018013,-0.786355110424095,1.08273663078435,217,519,1593,67,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","all","DS",0.216174399287684,-0.852216219392108,1.28456501796748,217,519,1593,67,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","all","DS",0.316562296066357,-0.883301881356269,1.51642647348898,217,519,1593,67,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","all","DS",0.316562296066357,-0.883301881356269,1.51642647348898,217,519,1593,67,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","all","DS",0.316562296066357,-0.883301881356269,1.51642647348898,217,519,1593,67,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","all","DS",0.316562296066357,-0.883301881356269,1.51642647348898,217,519,1593,67,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","all","DS",0.316562296066357,-0.883301881356269,1.51642647348898,217,519,1593,67,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","all","DS",0.316562296066357,-0.883301881356269,1.51642647348898,217,519,1593,67,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","all","DS",0.316562296066357,-0.883301881356269,1.51642647348898,217,519,1593,67,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","all","DS",0.316562296066357,-0.883301881356269,1.51642647348898,217,519,1593,67,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","all","DS",0.316562296066357,-0.883301881356269,1.51642647348898,217,519,1593,67,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","all","DS",0.316562296066357,-0.883301881356269,1.51642647348898,217,519,1593,67,0.95
"2021-02-26",7,2019,520,"abundance","AutoArima","all","NA",0.98253688252523,-2.24501681511332,4.21009058016378,217,519,1593,67,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","all","NA",1.03916410370422,-2.41940851179476,4.49773671920319,217,519,1593,67,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","all","NA",1.09956111683393,-2.4738013703637,4.67292360403156,217,519,1593,67,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","all","NA",1.15626995798389,-2.51531565878506,4.82785557475285,217,519,1593,67,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","all","NA",1.20951584710866,-2.54653328044738,4.9655649746647,217,519,1593,67,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","all","NA",1.25951025100046,-2.56945671458961,5.08847721659052,217,519,1593,67,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","all","NA",1.3064517231325,-2.58566658145837,5.19857002772337,217,519,1593,67,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","all","NA",1.35052669221689,-2.59642774768526,5.29748113211903,217,519,1593,67,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","all","NA",1.39191020260883,-2.60276337801309,5.38658378323075,217,519,1593,67,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","all","NA",1.43076660949777,-2.60550817934174,5.46704139833729,217,519,1593,67,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","all","NA",1.46725023164629,-2.605347658194,5.53984812148658,217,519,1593,67,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","all","NA",1.50150596426923,-2.60284769188401,5.60585962042247,217,519,1593,67,0.95
"2021-02-26",7,2019,520,"abundance","AutoArima","all","OL",0.0454567694836141,-3.72022263704573,3.81113617601296,217,519,1593,67,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","all","OL",0.0393090095912489,-4.34106524673185,4.41968326591434,217,519,1593,67,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","all","OL",0.0331612496988838,-4.88568168926115,4.95200418865892,217,519,1593,67,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","all","OL",0.0270134898065189,-5.37690666974949,5.43093364936253,217,519,1593,67,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","all","OL",0.0208657299141537,-5.82803932347445,5.86977078330276,217,519,1593,67,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","all","OL",0.0147179700217885,-6.24763203267318,6.27706797271675,217,519,1593,67,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","all","OL",0.00857021012942338,-6.64156999808819,6.65871041834703,217,519,1593,67,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","all","OL",0.00242245023705823,-7.01410817548185,7.01895307595597,217,519,1593,67,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","all","OL",-0.00372530965530693,-7.368441139499,7.36099052018839,217,519,1593,67,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","all","OL",-0.00987306954767209,-7.70703985266009,7.68729371356475,217,519,1593,67,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","all","OL",-0.016020829440037,-8.03186225250649,7.99982059362642,217,519,1593,67,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","all","OL",-0.0221685893324022,-8.34449103877204,8.30015386010724,217,519,1593,67,0.95
"2021-02-26",7,2019,520,"abundance","AutoArima","all","OT",1.11294026214419,-10.0194153653903,12.2452958896786,217,519,1593,67,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","all","OT",1.1166132254604,-13.8613351887825,16.0945616397033,217,519,1593,67,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","all","OT",1.12028618877662,-16.9004944708271,19.1410668483803,217,519,1593,67,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","all","OT",1.12395915209283,-19.4954038948922,21.7433221990779,217,519,1593,67,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","all","OT",1.12763211540905,-21.7976318818756,24.0528961126937,217,519,1593,67,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","all","OT",1.13130507872526,-23.8882338104513,26.1508439679019,217,519,1593,67,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","all","OT",1.13497804204148,-25.8165882038902,28.0865442879732,217,519,1593,67,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","all","OT",1.1386510053577,-27.6154186194914,29.8927206302068,217,519,1593,67,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","all","OT",1.14232396867391,-29.3077354216211,31.5923833589689,217,519,1593,67,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","all","OT",1.14599693199013,-30.9104488122642,33.2024426762444,217,519,1593,67,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","all","OT",1.14966989530634,-32.4364181566854,34.7357579472981,217,519,1593,67,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","all","OT",1.15334285862256,-33.8956928986985,36.2023786159436,217,519,1593,67,0.95
"2021-02-26",7,2019,520,"abundance","AutoArima","all","PB",5.31987714771679,-21.1227120512783,31.7624663467119,217,519,1593,67,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","all","PB",5.33726776295144,-34.7807451055365,45.4552806314394,217,519,1593,67,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","all","PB",5.3546583781861,-44.8419489721669,55.5512657285391,217,519,1593,67,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","all","PB",5.37204899342076,-53.1936732547925,63.937771241634,217,519,1593,67,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","all","PB",5.38943960865541,-60.4906655477892,71.2695447651001,217,519,1593,67,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","all","PB",5.40683022389007,-67.0530392791221,77.8666997269022,217,519,1593,67,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","all","PB",5.42422083912472,-73.065760186245,83.9142018644945,217,519,1593,67,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","all","PB",5.44161145435938,-78.6471604140194,89.5303833227382,217,519,1593,67,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","all","PB",5.45900206959404,-83.8783696586004,94.7963737977885,217,519,1593,67,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","all","PB",5.47639268482869,-88.8178829647087,99.7706683343661,217,519,1593,67,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","all","PB",5.49378330006335,-93.509523984291,104.497090584418,217,519,1593,67,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","all","PB",5.511173915298,-97.9871318013158,109.009479631912,217,519,1593,67,0.95
"2021-02-26",7,2019,520,"abundance","AutoArima","all","PE",1.93811660388677,-5.19598798557661,9.07222119335016,217,519,1593,67,0.95
