"cast_date","cast_month","cast_year","moon","currency","model","data_set","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id","cast_group","confidence_level"
"2021-02-26",7,2019,521,"abundance","AutoArima","controls","BA",2.61864429155734e-07,-1.33132082136983,1.33132134509869,217,520,1602,68,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","controls","BA",3.86228403962843e-07,-1.47425855412185,1.47425932657866,217,520,1602,68,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","controls","BA",5.10592378769945e-07,-1.60451281741124,1.604513838596,217,520,1602,68,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","controls","BA",6.34956353577054e-07,-1.72495925335406,1.72496052326676,217,520,1602,68,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","controls","BA",7.59320328384156e-07,-1.83752752966421,1.83752904830487,217,520,1602,68,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","controls","BA",8.83684303191265e-07,-1.94358698655904,1.94358875392765,217,520,1602,68,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","controls","BA",1.00804827799837e-06,-2.04415099361296,2.04415300970952,217,520,1602,68,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","controls","BA",1.13241225280547e-06,-2.13999442889956,2.13999669372407,217,520,1602,68,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","controls","BA",1.25677622761258e-06,-2.23172556319365,2.23172807674611,217,520,1602,68,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","controls","BA",1.38114020241968e-06,-2.31983227572217,2.31983503800258,217,520,1602,68,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","controls","BA",1.50550417722679e-06,-2.40471298733069,2.40471599833905,217,520,1602,68,0.95
"2021-02-26",6,2020,532,"abundance","AutoArima","controls","BA",1.62986815203389e-06,-2.48669806824352,2.48670132797982,217,520,1602,68,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","controls","DM",9.20253642611613,1.43073178850511,16.9743410637272,217,520,1602,68,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","controls","DM",9.86100389102273,0.964317545974104,18.7576902360714,217,520,1602,68,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","controls","DM",10.4722050858371,0.535434776969106,20.4089753947051,217,520,1602,68,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","controls","DM",11.0498719622162,0.440180166954871,21.6595637574775,217,520,1602,68,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","controls","DM",11.5318581792315,0.402353779434392,22.6613625790285,217,520,1602,68,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","controls","DM",11.9696911972696,0.471089324061579,23.4682930704776,217,520,1602,68,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","controls","DM",12.3448791030172,0.562259127604833,24.1274990784296,217,520,1602,68,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","controls","DM",12.6794601605271,0.686789550755455,24.6721307702986,217,520,1602,68,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","controls","DM",12.9697879426721,0.815796518746394,25.1237793665978,217,520,1602,68,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","controls","DM",13.2264678786882,0.950818724800399,25.5021170325759,217,520,1602,68,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","controls","DM",13.450513321545,1.0814518407401,25.81957480235,217,520,1602,68,0.95
"2021-02-26",6,2020,532,"abundance","AutoArima","controls","DM",13.6477939864436,1.20759606401372,26.0879919088735,217,520,1602,68,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","controls","DO",1.63012599386506,-3.45843118533433,6.71868317306445,217,520,1602,68,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","controls","DO",2.38368074662612,-3.72964193206495,8.49700342531718,217,520,1602,68,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","controls","DO",3.66615331942268,-3.11501165610827,10.4473182949536,217,520,1602,68,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","controls","DO",3.66615331942268,-3.11501165610827,10.4473182949536,217,520,1602,68,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","controls","DO",3.66615331942268,-3.11501165610827,10.4473182949536,217,520,1602,68,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","controls","DO",3.66615331942268,-3.11501165610827,10.4473182949536,217,520,1602,68,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","controls","DO",3.66615331942268,-3.11501165610827,10.4473182949536,217,520,1602,68,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","controls","DO",3.66615331942268,-3.11501165610827,10.4473182949536,217,520,1602,68,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","controls","DO",3.66615331942268,-3.11501165610827,10.4473182949536,217,520,1602,68,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","controls","DO",3.66615331942268,-3.11501165610827,10.4473182949536,217,520,1602,68,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","controls","DO",3.66615331942268,-3.11501165610827,10.4473182949536,217,520,1602,68,0.95
"2021-02-26",6,2020,532,"abundance","AutoArima","controls","DO",3.66615331942268,-3.11501165610827,10.4473182949536,217,520,1602,68,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","controls","DS",-1.24220289717427e-81,-0.608339450016599,0.608339450016599,217,520,1602,68,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","controls","DS",-4.84767729352635e-82,-0.653021680556487,0.653021680556487,217,520,1602,68,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","controls","DS",-9.46615012721595e-82,-0.800840714050197,0.800840714050197,217,520,1602,68,0.95
