"cast_date","cast_month","cast_year","moon","currency","model","data_set","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id","cast_group","confidence_level"
"2021-02-26",7,2019,521,"abundance","AutoArima","exclosures","BA",1.07617425577816e-06,-1.48606822977052,1.48607038211903,217,520,1603,68,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","exclosures","BA",1.5694771946308e-06,-1.63571679354749,1.63571993250188,217,520,1603,68,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","exclosures","BA",2.06278013348342e-06,-1.77277743399918,1.77278155955945,217,520,1603,68,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","exclosures","BA",2.55608307233606e-06,-1.89997631886952,1.89998143103566,217,520,1603,68,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","exclosures","BA",3.0493860111887e-06,-2.01917804856709,2.01918414733911,217,520,1603,68,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","exclosures","BA",3.54268895004132e-06,-2.13172460306418,2.13173168844208,217,520,1603,68,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","exclosures","BA",4.03599188889396e-06,-2.23861997631144,2.23862804829522,217,520,1603,68,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","exclosures","BA",4.52929482774658e-06,-2.34063855531377,2.34064761390342,217,520,1603,68,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","exclosures","BA",5.02259776659922e-06,-2.43839253124595,2.43840257644148,217,520,1603,68,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","exclosures","BA",5.51590070545186e-06,-2.53237581629553,2.53238684809694,217,520,1603,68,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","exclosures","BA",6.00920364430448e-06,-2.62299376066309,2.62300577907038,217,520,1603,68,0.95
"2021-02-26",6,2020,532,"abundance","AutoArima","exclosures","BA",6.50250658315712e-06,-2.71058390804717,2.71059691306033,217,520,1603,68,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","exclosures","DM",0.534326936281608,-1.42216311576718,2.49081698833039,217,520,1603,68,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","exclosures","DM",0.758534489087226,-1.39078159440169,2.90785057257614,217,520,1603,68,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","exclosures","DM",0.758534489087226,-1.39078159440169,2.90785057257614,217,520,1603,68,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","exclosures","DM",0.758534489087226,-1.39078159440169,2.90785057257614,217,520,1603,68,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","exclosures","DM",0.758534489087226,-1.39078159440169,2.90785057257614,217,520,1603,68,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","exclosures","DM",0.758534489087226,-1.39078159440169,2.90785057257614,217,520,1603,68,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","exclosures","DM",0.758534489087226,-1.39078159440169,2.90785057257614,217,520,1603,68,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","exclosures","DM",0.758534489087226,-1.39078159440169,2.90785057257614,217,520,1603,68,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","exclosures","DM",0.758534489087226,-1.39078159440169,2.90785057257614,217,520,1603,68,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","exclosures","DM",0.758534489087226,-1.39078159440169,2.90785057257614,217,520,1603,68,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","exclosures","DM",0.758534489087226,-1.39078159440169,2.90785057257614,217,520,1603,68,0.95
"2021-02-26",6,2020,532,"abundance","AutoArima","exclosures","DM",0.758534489087226,-1.39078159440169,2.90785057257614,217,520,1603,68,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","exclosures","DO",0,-1.34109277054632,1.34109277054632,217,520,1603,68,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","exclosures","DO",0,-1.54468090863445,1.54468090863445,217,520,1603,68,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","exclosures","DO",0,-1.69433904454091,1.69433904454091,217,520,1603,68,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","exclosures","DO",0,-1.90097195670275,1.90097195670275,217,520,1603,68,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","exclosures","DO",0,-2.0653734368632,2.0653734368632,217,520,1603,68,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","exclosures","DO",0,-2.2119224097028,2.2119224097028,217,520,1603,68,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","exclosures","DO",0,-2.35602542663129,2.35602542663129,217,520,1603,68,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","exclosures","DO",0,-2.4902907581687,2.4902907581687,217,520,1603,68,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","exclosures","DO",0,-2.61687149299301,2.61687149299301,217,520,1603,68,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","exclosures","DO",0,-2.73826042044943,2.73826042044943,217,520,1603,68,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","exclosures","DO",0,-2.85439721695715,2.85439721695715,217,520,1603,68,0.95
"2021-02-26",6,2020,532,"abundance","AutoArima","exclosures","DO",0,-2.96588631139717,2.96588631139717,217,520,1603,68,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","exclosures","NA",0.0484831348903999,-0.537621087244347,0.634587357025147,217,520,1603,68,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","exclosures","NA",0.0674166664115316,-0.53536665830565,0.670199991128713,217,520,1603,68,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","exclosures","NA",0.0850972288397962,-0.547659891636288,0.71785434931588,217,520,1603,68,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","exclosures","NA",0.0840364164901031,-0.54916748673955,0.717240319719756,217,520,1603,68,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","exclosures","NA",0.0922295849289059,-0.54505186654012,0.729511036397931,217,520,1603,68,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","exclosures","NA",0.104229723332581,-0.546461539156943,0.754920985822104,217,520,1603,68,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","exclosures","NA",0.104229723332581,-0.546461539156943,0.754920985822104,217,520,1603,68,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","exclosures","NA",0.104229723332581,-0.546461539156943,0.754920985822104,217,520,1603,68,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","exclosures","NA",0.104229723332581,-0.546461539156943,0.754920985822104,217,520,1603,68,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","exclosures","NA",0.104229723332581,-0.546461539156943,0.754920985822104,217,520,1603,68,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","exclosures","NA",0.104229723332581,-0.546461539156943,0.754920985822104,217,520,1603,68,0.95
"2021-02-26",6,2020,532,"abundance","AutoArima","exclosures","NA",0.104229723332581,-0.546461539156943,0.754920985822104,217,520,1603,68,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","exclosures","OL",0.108119240114843,-0.961533477723911,1.1777719579536,217,520,1603,68,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","exclosures","OL",0.134883165174863,-0.973524833097914,1.24329116344764,217,520,1603,68,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","exclosures","OL",0.155820660693369,-0.994432392011955,1.30607371339869,217,520,1603,68,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","exclosures","OL",0.196865742961642,-1.0325883747484,1.42631986067168,217,520,1603,68,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","exclosures","OL",0.196865742961642,-1.0325883747484,1.42631986067168,217,520,1603,68,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","exclosures","OL",0.196865742961642,-1.0325883747484,1.42631986067168,217,520,1603,68,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","exclosures","OL",0.196865742961642,-1.0325883747484,1.42631986067168,217,520,1603,68,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","exclosures","OL",0.196865742961642,-1.0325883747484,1.42631986067168,217,520,1603,68,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","exclosures","OL",0.196865742961642,-1.0325883747484,1.42631986067168,217,520,1603,68,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","exclosures","OL",0.196865742961642,-1.0325883747484,1.42631986067168,217,520,1603,68,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","exclosures","OL",0.196865742961642,-1.0325883747484,1.42631986067168,217,520,1603,68,0.95
"2021-02-26",6,2020,532,"abundance","AutoArima","exclosures","OL",0.196865742961642,-1.0325883747484,1.42631986067168,217,520,1603,68,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","exclosures","OT",-8.50894600460017e-19,-3.07845220435494,3.07845220435494,217,520,1603,68,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","exclosures","OT",-1.13607065135333e-18,-3.66828781016245,3.66828781016245,217,520,1603,68,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","exclosures","OT",-1.28983315839286e-18,-3.87139725002159,3.87139725002159,217,520,1603,68,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","exclosures","OT",-1.11222678720968e-18,-4.10984451968116,4.10984451968116,217,520,1603,68,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","exclosures","OT",-1.0500572984264e-18,-4.29162472840106,4.29162472840106,217,520,1603,68,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","exclosures","OT",-1.05963103294035e-18,-4.56629664367235,4.56629664367235,217,520,1603,68,0.95
"2021-02-26",1,2020,527,"abundance","AutoArima","exclosures","OT",-1.08165833498074e-18,-4.84253815304038,4.84253815304038,217,520,1603,68,0.95
"2021-02-26",2,2020,528,"abundance","AutoArima","exclosures","OT",-1.11321433473299e-18,-5.06150386222972,5.06150386222972,217,520,1603,68,0.95
"2021-02-26",3,2020,529,"abundance","AutoArima","exclosures","OT",-1.10361010474181e-18,-5.27153309557561,5.27153309557561,217,520,1603,68,0.95
"2021-02-26",4,2020,530,"abundance","AutoArima","exclosures","OT",-1.08982021483267e-18,-5.46913829275699,5.46913829275699,217,520,1603,68,0.95
"2021-02-26",5,2020,531,"abundance","AutoArima","exclosures","OT",-1.0888427915154e-18,-5.66499203958434,5.66499203958434,217,520,1603,68,0.95
"2021-02-26",6,2020,532,"abundance","AutoArima","exclosures","OT",-1.09019882780778e-18,-5.86047081719544,5.86047081719544,217,520,1603,68,0.95
"2021-02-26",7,2019,521,"abundance","AutoArima","exclosures","PB",2.1351833839716,-8.05170516859137,12.3220719365346,217,520,1603,68,0.95
"2021-02-26",8,2019,522,"abundance","AutoArima","exclosures","PB",2.1422089450347,-11.7807278742675,16.0651457643369,217,520,1603,68,0.95
"2021-02-26",9,2019,523,"abundance","AutoArima","exclosures","PB",2.1492345060978,-14.7007993504327,18.9992683626283,217,520,1603,68,0.95
"2021-02-26",10,2019,524,"abundance","AutoArima","exclosures","PB",2.15626006716089,-17.1827965866205,21.4953167209423,217,520,1603,68,0.95
"2021-02-26",11,2019,525,"abundance","AutoArima","exclosures","PB",2.16328562822399,-19.3791047579451,23.705676014393,217,520,1603,68,0.95
"2021-02-26",12,2019,526,"abundance","AutoArima","exclosures","PB",2.17031118928708,-21.3700807964478,25.710703175022,217,520,1603,68,0.95
