"cast_date","cast_month","cast_year","moon","currency","model","data_set","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id","cast_group","confidence_level"
"2021-02-25",2,2020,528,"abundance","nbGARCH","dm_controls_interp","DM",22.233425584705,14,31,217,540,1620,64,0.95
"2021-02-25",3,2020,529,"abundance","nbGARCH","dm_controls_interp","DM",20.9032273102446,10,33,217,540,1620,64,0.95
"2021-02-25",4,2020,530,"abundance","nbGARCH","dm_controls_interp","DM",19.7782916281352,9,32,217,540,1620,64,0.95
"2021-02-25",5,2020,531,"abundance","nbGARCH","dm_controls_interp","DM",18.9512436221887,7,33,217,540,1620,64,0.95
"2021-02-25",6,2020,532,"abundance","nbGARCH","dm_controls_interp","DM",18.1990358281544,7,32,217,540,1620,64,0.95
"2021-02-25",7,2020,533,"abundance","nbGARCH","dm_controls_interp","DM",17.6106449409919,6,32,217,540,1620,64,0.95
"2021-02-25",8,2020,534,"abundance","nbGARCH","dm_controls_interp","DM",16.853852949384,6,31,217,540,1620,64,0.95
"2021-02-25",9,2020,535,"abundance","nbGARCH","dm_controls_interp","DM",16.3958811916524,5,31,217,540,1620,64,0.95
"2021-02-25",10,2020,536,"abundance","nbGARCH","dm_controls_interp","DM",16.1530681754526,4,29,217,540,1620,64,0.95
"2021-02-25",11,2020,537,"abundance","nbGARCH","dm_controls_interp","DM",16.0159444020733,4,28,217,540,1620,64,0.95
"2021-02-25",12,2020,538,"abundance","nbGARCH","dm_controls_interp","DM",15.9303355229287,4,28,217,540,1620,64,0.95
"2021-02-25",1,2021,539,"abundance","nbGARCH","dm_controls_interp","DM",15.922251391642,4,28,217,540,1620,64,0.95
"2021-02-25",2,2021,540,"abundance","nbGARCH","dm_controls_interp","DM",16.0607838681837,4,29,217,540,1620,64,0.95
"2021-02-25",3,2021,541,"abundance","nbGARCH","dm_controls_interp","DM",16.1551558633819,5,30,217,540,1620,64,0.95
"2021-02-25",4,2021,542,"abundance","nbGARCH","dm_controls_interp","DM",16.215307988221,4,30,217,540,1620,64,0.95
"2021-02-25",5,2021,543,"abundance","nbGARCH","dm_controls_interp","DM",16.2513368664528,5,30,217,540,1620,64,0.95
"2021-02-25",6,2021,544,"abundance","nbGARCH","dm_controls_interp","DM",16.2684504361032,4,29,217,540,1620,64,0.95
"2021-02-25",7,2021,545,"abundance","nbGARCH","dm_controls_interp","DM",16.2725223499456,4,29,217,540,1620,64,0.95
"2021-02-25",8,2021,546,"abundance","nbGARCH","dm_controls_interp","DM",16.262784678819,4,30,217,540,1620,64,0.95
"2021-02-25",9,2021,547,"abundance","nbGARCH","dm_controls_interp","DM",16.2467722379535,4,30,217,540,1620,64,0.95
"2021-02-25",10,2021,548,"abundance","nbGARCH","dm_controls_interp","DM",16.2294501593494,4,30,217,540,1620,64,0.95
"2021-02-25",11,2021,549,"abundance","nbGARCH","dm_controls_interp","DM",16.2129686669474,4,30,217,540,1620,64,0.95
"2021-02-25",12,2021,550,"abundance","nbGARCH","dm_controls_interp","DM",16.1981018978768,4,30,217,540,1620,64,0.95
"2021-02-25",1,2022,551,"abundance","nbGARCH","dm_controls_interp","DM",16.1859687983019,4,30,217,540,1620,64,0.95
"2021-02-25",2,2022,552,"abundance","nbGARCH","dm_controls_interp","DM",16.178742062822,4,30,217,540,1620,64,0.95
"2021-02-25",2,2020,528,"abundance","nbGARCH","dm_controls_interp","total",22.233425584705,13,32,217,540,1620,64,0.95
"2021-02-25",3,2020,529,"abundance","nbGARCH","dm_controls_interp","total",20.9032273102446,10,33,217,540,1620,64,0.95
"2021-02-25",4,2020,530,"abundance","nbGARCH","dm_controls_interp","total",19.7782916281352,8,33,217,540,1620,64,0.95
"2021-02-25",5,2020,531,"abundance","nbGARCH","dm_controls_interp","total",18.9512436221887,7,33,217,540,1620,64,0.95
"2021-02-25",6,2020,532,"abundance","nbGARCH","dm_controls_interp","total",18.1990358281544,6,31,217,540,1620,64,0.95
"2021-02-25",7,2020,533,"abundance","nbGARCH","dm_controls_interp","total",17.6106449409919,6,32,217,540,1620,64,0.95
"2021-02-25",8,2020,534,"abundance","nbGARCH","dm_controls_interp","total",16.853852949384,5,31,217,540,1620,64,0.95
"2021-02-25",9,2020,535,"abundance","nbGARCH","dm_controls_interp","total",16.3958811916524,5,30,217,540,1620,64,0.95
"2021-02-25",10,2020,536,"abundance","nbGARCH","dm_controls_interp","total",16.1530681754526,4,29,217,540,1620,64,0.95
"2021-02-25",11,2020,537,"abundance","nbGARCH","dm_controls_interp","total",16.0159444020733,4,29,217,540,1620,64,0.95
"2021-02-25",12,2020,538,"abundance","nbGARCH","dm_controls_interp","total",15.9303355229287,4,30,217,540,1620,64,0.95
"2021-02-25",1,2021,539,"abundance","nbGARCH","dm_controls_interp","total",15.922251391642,4,30,217,540,1620,64,0.95
"2021-02-25",2,2021,540,"abundance","nbGARCH","dm_controls_interp","total",16.0607838681837,4,30,217,540,1620,64,0.95
"2021-02-25",3,2021,541,"abundance","nbGARCH","dm_controls_interp","total",16.1551558633819,4,30,217,540,1620,64,0.95
"2021-02-25",4,2021,542,"abundance","nbGARCH","dm_controls_interp","total",16.215307988221,4,31,217,540,1620,64,0.95
"2021-02-25",5,2021,543,"abundance","nbGARCH","dm_controls_interp","total",16.2513368664528,4,30,217,540,1620,64,0.95
"2021-02-25",6,2021,544,"abundance","nbGARCH","dm_controls_interp","total",16.2684504361032,5,31,217,540,1620,64,0.95
"2021-02-25",7,2021,545,"abundance","nbGARCH","dm_controls_interp","total",16.2725223499456,5,30,217,540,1620,64,0.95
"2021-02-25",8,2021,546,"abundance","nbGARCH","dm_controls_interp","total",16.262784678819,4,30,217,540,1620,64,0.95
"2021-02-25",9,2021,547,"abundance","nbGARCH","dm_controls_interp","total",16.2467722379535,5,31,217,540,1620,64,0.95
"2021-02-25",10,2021,548,"abundance","nbGARCH","dm_controls_interp","total",16.2294501593494,5,29,217,540,1620,64,0.95
"2021-02-25",11,2021,549,"abundance","nbGARCH","dm_controls_interp","total",16.2129686669474,5,30,217,540,1620,64,0.95
"2021-02-25",12,2021,550,"abundance","nbGARCH","dm_controls_interp","total",16.1981018978768,5,31,217,540,1620,64,0.95
"2021-02-25",1,2022,551,"abundance","nbGARCH","dm_controls_interp","total",16.1859687983019,4,31,217,540,1620,64,0.95
"2021-02-25",2,2022,552,"abundance","nbGARCH","dm_controls_interp","total",16.178742062822,4,31,217,540,1620,64,0.95
